pref,moderator,estimate,se,tval,ci_lb,ci_ub,pval
risk,(Intercept),0.026,0.123,0.215,-0.215,0.268,0.83
risk,n_incl_es_log,0.195,0.047,4.159,0.103,0.287,0
risk,num_dec_available,0.183,0.026,7.009,0.132,0.234,0
time,(Intercept),0.368,0.079,4.645,0.212,0.524,0
time,n_incl_es_log,0.031,0.027,1.132,-0.023,0.084,0.258
time,num_dec_available,0.293,0.02,14.837,0.255,0.332,0
social,(Intercept),0.845,0.284,2.978,0.277,1.413,0.004
social,n_incl_es_log,-0.253,0.121,-2.095,-0.494,-0.011,0.041
social,num_dec_available,0.508,0.102,4.996,0.304,0.711,0
effort,(Intercept),0.694,0.761,0.912,-0.88,2.269,0.371
effort,n_incl_es_log,-0.085,0.38,-0.223,-0.87,0.701,0.826
effort,num_dec_available,0.693,0.148,4.679,0.387,1,0
