Age_group,m,sd,Domain,correl
older,0.4921703726902599,0.4999778411118831,Overall,NA
younger,0.45048543689320386,0.4975825267064029,Overall,NA
cont.,NA,NA,Overall,0.2509291735725472
older,0.46975806451612906,0.49918523969073314,gains,NA
older,0.4838709677419355,0.4998741794528145,losses,NA
older,0.5268817204301075,0.4993989078208788,mixed,NA
younger,0.39166666666666666,0.48822454556460027,gains,NA
younger,0.5188888888888888,0.49978193008741306,losses,NA
younger,0.4595959595959596,0.49849073716747944,mixed,NA
cont.,NA,NA,gains,0.3238166248415681
cont.,NA,NA,losses,-0.1688678419808004
cont.,NA,NA,mixed,0.24393326196985401
